"Abbreviation"	"Reaction"	"Description"	"Reaction_desc"
"R08563"	"C16846[c] + C00005[c] + C00080[c] <=> C11379[c] + C00006[c]"	"cinchonidinone:NADPH oxidoreductase"	"Cinchonidinone + NADPH + H+ <=> Cinchonidine + NADP+"
"R03080"	"C02912[c] + C00003[c] <=> C00937[c] + C00004[c] + C00080[c]"	"(R)-propane-1,2-diol:NAD+ oxidoreductase"	"(R)-Propane-1,2-diol + NAD+ <=> (R)-Lactaldehyde + NADH + H+"
"R06619"	"C11864[c] <=> C00859[c]"	"X"	"Gibberellin A4 <=> Gibberellin A1"
"R08943"	"C01953[c] + C00005[c] + C00080[c] + C00007[c] <=> C18038[c] + C00006[c] + C00001[c]"	"pregnenolone,NADPH:oxygen oxidoreductase (7alpha-hydroxylating)"	"Pregnenolone + NADPH + H+ + Oxygen <=> 7alpha-Hydroxypregnenolone + NADP+ + H2O"
"R01028"	"C00919[c] + C00001[c] <=> C00114[c] + C00059[c]"	"choline sulfate sulfohydrolase"	"Choline sulfate + H2O <=> Choline + Sulfate"
"R00118"	"C00006[c] + C00001[c] <=> C00009[c] + C00003[c]"	"NADP+ 2'-phosphohydrolase"	"NADP+ + H2O <=> Orthophosphate + NAD+"
"R05311"	"C01063[c] + C00003[c] <=> C06723[c] + C00004[c] + C00080[c]"	"pimeloyl-CoA:NAD+ oxidoreductase"	"Pimeloyl-CoA + NAD+ <=> 6-Carboxyhex-2-enoyl-CoA + NADH + H+"
"R04120"	"C03023[c] + C00343[c] + C00001[c] <=> C03895[c] + C00342[c]"	"peptide-L-methionine:thioredoxin-disulfide S-oxidoreductase [L-methionine (S)-S-oxide-forming]"	"Peptide-L-methionine + Thioredoxin disulfide + H2O <=> Peptide-L-methionine (S)-S-oxide + Thioredoxin"
"R02052"	"C00350[c] + C00001[c] <=> C00641[c] + C00346[c]"	"phosphatidylethanolamine ethanolaminephosphohydrolase"	"Phosphatidylethanolamine + H2O <=> 1,2-Diacyl-sn-glycerol + Ethanolamine phosphate"
"R07829"	"C16268[c] <=> C00877[c]"	"X"	"Cyclopropanecarboxyl-CoA <=> Crotonoyl-CoA"
"R12219"	"C21995[c] + C00001[c] <=> C21996[c] + C01187[c]"	"KDO2-lipid-A-1-(2-aminoethyl phosphate) hydrolase"	"1-PEtN-KDO2-lipid A + H2O <=> 1-PEtN-KDO-lipid A + 3-Deoxy-D-manno-octulosonate"
"R08283"	"C07645[c] + C00006[c] + C00001[c] <=> C07646[c] + C00005[c] + C00080[c]"	"carboxyphosphamide:NADP+ oxidoreductase"	"Aldophosphamide + NADP+ + H2O <=> Carboxyphosphamide + NADPH + H+"
"R03323"	"C01175[c] + C00149[c] <=> C00031[c] + C02887[c]"	"1-O-sinapoyl-beta-D-glucose:(S)-malate O-sinapoyltransferase"	"1-O-Sinapoyl-beta-D-glucose + (S)-Malate <=> D-Glucose + Sinapoyl malate"
"R01718"	"C00252[c] + C00001[c] <=> C00267[c] + C00031[c]"	"isomaltose 6-alpha-D-glucanohydrolase"	"Isomaltose + H2O <=> alpha-D-Glucose + D-Glucose"
"R02007"	"C03190[c] <=> C00341[c]"	"(+)-bornyl-diphosphate lyase (decyclizing)"	"(+)-Bornyl diphosphate <=> Geranyl diphosphate"
"R07958"	"C13747[c] + C00005[c] + C00080[c] + C00007[c] <=> C16353[c] + C00006[c] + C00067[c] + C00001[c]"	"paraxanthine:oxygen oxidoreductase (N1-demethylating)"	"1,7-Dimethylxanthine + NADPH + H+ + Oxygen <=> 7-Methylxanthine + NADP+ + Formaldehyde + H2O"
"R11303"	"C21269[c] <=> C21270[c]"	"X"	"Antibiotic JI-20Ba <=> Gentamicin C2a"
"R11589"	"C21489[c] + C21453[c] <=> C21490[c] + C00011[c] + C21487[c]"	"octanoyl-CoA:2-aminobenzoylacetate octanoyltransferase"	"S-Octanoyl-L-cysteinyl-protein + (2-Aminobenzoyl)acetate <=> 1-(2-Aminophenyl)decane-1,3-dione + CO2 + L-Cysteinyl-protein"
"R04136"	"C03351[c] + C00006[c] <=> C03067[c] + C00005[c] + C00080[c]"	"3-hydroxybenzyl-alcohol:NADP+ oxidoreductase"	"3-Hydroxybenzyl alcohol + NADP+ <=> 3-Hydroxybenzaldehyde + NADPH + H+"
"R05782"	"C11529[c] + C00001[c] <=> C00151[c] + C00014[c] + C00011[c]"	"N-carbamoyl-L-amino acid amidohydrolase"	"N-Carbamoyl-L-amino acid + H2O <=> L-Amino acid + Ammonia + CO2"
"R09686"	"C11901[c] + C00001[c] <=> C19817[c] + C00013[c]"	"(+)-copalyl-diphosphate diphosphate-lyase (phyllocladan-16alpha-ol-forming)"	"Copalyl diphosphate + H2O <=> Phyllocladan-16alpha-ol + Diphosphate"
"R01036"	"C00116[c] + C00003[c] <=> C00577[c] + C00004[c] + C00080[c]"	"glycerol:NAD+ oxidoreductase"	"Glycerol + NAD+ <=> D-Glyceraldehyde + NADH + H+"
"R09857"	"C00029[c] + C20138[c] <=> C00015[c] + C20139[c]"	"UDP-glucose:N-demethylansamitocin-P-3 beta-D-glucosyltransferase"	"UDP-glucose + N-Demethylansamitocin P-3 <=> UDP + Ansamitocinoside P-3"
"R08505"	"C00187[c] + C00007[c] + 2 C00080[c] + 2 C00662[c] <=> C15610[c] + C00001[c] + 2 C00667[c]"	"cholesterol 26-hydroxylase"	"Cholesterol + Oxygen + 2 H+ + 2 Reduced adrenal ferredoxin <=> Cholest-5-ene-3beta,26-diol + H2O + 2 Oxidized adrenal ferredoxin"
"R12316"	"G10558 + G10610 <=> G13127 + G10619"	"X"	"G10558 + G10610 <=> G13127 + G10619"
"R01135"	"C00044[c] + C00130[c] + C00049[c] <=> C00035[c] + C00009[c] + C03794[c]"	"IMP:L-aspartate ligase (GDP-forming)"	"GTP + IMP + L-Aspartate <=> GDP + Orthophosphate + N6-(1,2-Dicarboxyethyl)-AMP"
"R07041"	"C00219[c] + C03024[c] + C00007[c] <=> C14748[c] + C03161[c] + C00001[c]"	"arachidonic acid:oxygen 1-oxidoreductase"	"Arachidonate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 20-HETE + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R08028"	"C09826[c] <=> C16418[c]"	"X"	"Pinobanksin <=> Pinobanksin 3-O-acetate"
"R05512"	"C00103[c] + C00201[c] + C11349[c] + C10905[c] <=> C06592[c] + C00009[c]"	"X"	"D-Glucose 1-phosphate + Nucleoside triphosphate + Amino group donor + Activated methyl group <=> NDP-N-methyl-L-glucosamine + Orthophosphate"
"R01423"	"C06433[c] + C00001[c] <=> C00020[c] + C00180[c]"	"5'-benzoylphosphoadenosine benzoylhydrolase"	"5'-Benzoylphosphoadenosine + H2O <=> AMP + Benzoate"
"R09409"	"C19586[c] + C00051[c] <=> C11278[c]"	"glutathione-S-transferase"	"Aflatoxin B1-exo-8,9-epoxide + Glutathione <=> Aflatoxin B1exo-8,9-epoxide-GSH"
"R10571"	"C20528[c] <=> C20542[c]"	"X"	"Terpendole B <=> 13-Desoxyterpendole I"
"R04707"	"C00019[c] + C05247[c] <=> C00021[c] + C05194[c] + C00080[c]"	"S-adenosyl-L-methionine:10-hydroxydihydrosanguinarine 10-O-methyltransferase"	"S-Adenosyl-L-methionine + 10-Hydroxydihydrosanguinarine <=> S-Adenosyl-L-homocysteine + Dihydrochelirubine + H+"
"R08712"	"C00040[c] + C00729[c] <=> C00010[c] + C02089[c]"	"acyl-CoA:tropine O-acyltransferase"	"Acyl-CoA + Tropine <=> CoA + O-Acyltropine"
"R06698"	"C12436[c] <=> C12437[c]"	"X"	"Dihydrokalafungin <=> Medermycin"
"R12053"	"C21140[c] + C00004[c] + C00080[c] + C00007[c] <=> C21874[c] + C00003[c] + C00001[c]"	"aurachin-B,NADH:oxygen oxidoreductase (2',3'-epoxidizing)"	"Aurachin B + NADH + H+ + Oxygen <=> Aurachin B epoxide + NAD+ + H2O"
"R04980"	"C05800[c] + C00007[c] + C00005[c] <=> C05801[c] + C00006[c] + C00001[c]"	"X"	"2-Hexaprenylphenol + Oxygen + NADPH <=> 2-Hexaprenyl-6-hydroxyphenol + NADP+ + H2O"
"R08950"	"2 C00235[c] <=> C00013[c] + C18052[c]"	"dimethylallyl-diphosphate:dimethylallyl-diphosphate dimethylallyltransferase (lavandulyl-diphosphate-forming)"	"2 Dimethylallyl diphosphate <=> Diphosphate + Lavandulyl diphosphate"
"R04567"	"C04688[c] + C00043[c] <=> C00229[c] + C04738[c]"	"(R)-3-hydroxytetradecanoly-[acyl-carrier-protein]:UDP-N-acetyl-glucosamine 3-O-(3-hydroxytetradecanoyl)transferase"	"(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] + UDP-N-acetyl-alpha-D-glucosamine <=> Acyl-carrier protein + UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine"
"R01045"	"C00116[c] + C00028[c] <=> C00184[c] + C00030[c]"	"glycerol:(acceptor) 1-oxidoreductase;"	"Glycerol + Acceptor <=> Glycerone + Reduced acceptor"
"R05766"	"C00341[c] <=> C06307[c] + C00013[c]"	"geranyl-diphosphate diphosphate-lyase [cyclizing, (-)-beta-pinene-forming]"	"Geranyl diphosphate <=> (-)-beta-Pinene + Diphosphate"
"R06917"	"C14089[c] + C00003[c] <=> C14090[c] + C00004[c] + C00080[c]"	"1-hydroxymethylnaphthalene:NAD+ oxidoreductase"	"1-Hydroxymethylnaphthalene + NAD+ <=> 1-Naphthaldehyde + NADH + H+"
"R00082"	"C00007[c] + 4 C01000[c] <=> 4 C00997[c] + 2 C00001[c]"	"ferrocytochrome c2:oxygen oxidoreductase"	"Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O"
"R08571"	"C00577[c] + C00001[c] + C00139[c] <=> C00258[c] + C00080[c] + C00138[c]"	"glyceraldehyde ferredoxin oxidoreductase"	"D-Glyceraldehyde + H2O + Oxidized ferredoxin <=> D-Glycerate + H+ + Reduced ferredoxin"
"R13276"	"C22876[c] + C00006[c] <=> C22875[c] + C00005[c] + C00080[c]"	"X"	"Trehalose monomycolate + NADP+ <=> Trehalose mycolic-beta-ketoester + NADPH + H+"
"R06261"	"G10617 + G10597 <=> G10622 + G00007"	"X"	"G10617 + G10597 <=> G10622 + G00007"
"R01533"	"C00202[c] + C00001[c] <=> C03113[c] + C16487[c]"	"diisopropyl-fluorophosphate fluorohydrolase"	"Isoflurophate + H2O <=> Diisopropyl phosphate + Hydrofluoric acid"
"R11683"	"C21583[c] <=> C11816[c]"	"X"	"6-O-Methyl-N-deacetylisoipecoside aglycon <=> Protoemetine"
"R09177"	"C14519[c] + C00019[c] <=> C18259[c] + C00021[c]"	"X"	"1-Hydroxypyrene + S-Adenosyl-L-methionine <=> 1-Methoxypyrene + S-Adenosyl-L-homocysteine"
"R04673"	"C00109[c] + C05125[c] <=> C06006[c] + C00068[c]"	"(S)-2-aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)"	"2-Oxobutanoate + 2-(alpha-Hydroxyethyl)thiamine diphosphate <=> (S)-2-Aceto-2-hydroxybutanoate + Thiamin diphosphate"
"R11022"	"C03824[c] <=> C10164[c] + C00001[c]"	"X"	"2-Aminomuconate semialdehyde <=> Picolinic acid + H2O"
"R02908"	"C00780[c] + C00001[c] + C00007[c] <=> C05634[c] + C00014[c] + C00027[c]"	"5-hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)"	"Serotonin + H2O + Oxygen <=> 5-Hydroxyindoleacetaldehyde + Ammonia + Hydrogen peroxide"
"R04301"	"C00019[c] + C03758[c] <=> C00021[c] + C05587[c]"	"S-adenosyl-L-methionine:catechol O-methyltransferase"	"S-Adenosyl-L-methionine + Dopamine <=> S-Adenosyl-L-homocysteine + 3-Methoxytyramine"
"R11738"	"C19714[c] + C03024[c] + C00007[c] <=> C21623[c] + C03161[c] + C00001[c]"	"X"	"(E)-Phenylacetaldoxime + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 1-aci-Nitro-2-phenylethane + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R10350"	"C20525[c] + C00007[c] + C00005[c] + C00080[c] <=> C20526[c] + C00006[c] + C00001[c]"	"3-geranylgeranylindole,NADPH:oxygen oxidoreductase (10,11-epoxidizing)"	"3-Geranylgeranylindole + Oxygen + NADPH + H+ <=> 10,11-Epoxy-3-geranylgeranylindole + NADP+ + H2O"
"R08497"	"C16735[c] <=> C16728[c]"	"X"	"Corynantheal <=> Quinidinone"
"R09756"	"C20504[c] + C00006[c] <=> C20503[c] + C00005[c] + C00080[c]"	"versicolorone:NADP+ oxidoreductase"	"Versicolorone + NADP+ <=> 1'-Hydroxyversicolorone + NADPH + H+"
"R04844"	"C05483[c] + C00003[c] <=> C05478[c] + C00004[c] + C00080[c]"	"3alpha,20alpha,21-trihydroxy-5beta-pregnane-11-one:NAD+ oxidoreductase"	"3alpha,20alpha,21-Trihydroxy-5beta-pregnan-11-one + NAD+ <=> 3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione + NADH + H+"
"R07106"	"C07490[c] + C00167[c] <=> C14869[c] + C00015[c]"	"UDP-glucuronate beta-D-glucuronosyltransferase"	"Trichloroethanol + UDP-glucuronate <=> Trichloroethanol glucuronide + UDP"
"R09924"	"C04433[c] + C03024[c] + C00007[c] <=> C20221[c] + C03161[c] + 2 C00001[c]"	"8-hydroxylinalool,[reduced NADPH---hemoprotein reductase]:oxygen 8-oxidoreductase"	"(6E)-8-Hydroxylinalool + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (6E)-8-Oxolinalool + [Oxidized NADPH---hemoprotein reductase] + 2 H2O"
"R10009"	"C04216[c] <=> C20276[c] + C00013[c]"	"all-trans-heptaprenyl-diphosphate diphosphate-lyase (cyclizing, tetraprenyl-beta-curcumene-forming)"	"all-trans-Heptaprenyl diphosphate <=> Tetraprenyl-beta-curcumene + Diphosphate"
"R10515"	"C00280[c] + 3 C00007[c] + 3 C03024[c] <=> C00468[c] + C00058[c] + 4 C00001[c] + 3 C03161[c]"	"androst-4-ene-3,17-dione monooxygenase (estrone-forming)"	"Androstenedione + 3 Oxygen + 3 [Reduced NADPH---hemoprotein reductase] <=> Estrone + Formate + 4 H2O + 3 [Oxidized NADPH---hemoprotein reductase]"
"R09543"	"C00019[c] + C01209[c] <=> C00021[c] + C19673[c]"	"S-adenosyl-L-methionine:malonyl-[acyl-carrier protein] O-methyltransferase"	"S-Adenosyl-L-methionine + Malonyl-[acyl-carrier protein] <=> S-Adenosyl-L-homocysteine + Malonyl-[acp] methyl ester"
"R09679"	"3 C00019[c] + C10192[c] <=> 3 C00021[c] + C19807[c]"	"S-adenosyl-L-methionine:tricetin 3',4',5'-O-trimethyltransferase"	"3 S-Adenosyl-L-methionine + Tricetin <=> 3 S-Adenosyl-L-homocysteine + 3',4',5'-O-Trimethyltricetin"
"R12397"	"C22135[c] + C21097[c] <=> C00020[c] + C22124[c]"	"palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase"	"(Palmitoyl)adenylate + Peptidyl-carrier protein <=> AMP + Palmitoyl-[(hydroxy)phthioceranic acid synthase]"
"R07923"	"C16313[c] + C00029[c] <=> C16354[c] + C00015[c]"	"UDP-glucose:anthocyanin 3'-O-beta-D-glucosyltransferase"	"Delphinidin 3-glucoside 5-caffoyl-glucoside + UDP-glucose <=> Albireodelphin + UDP"
"R03472"	"C03373[c] + C00019[c] <=> C04556[c] + C05198[c] + C00073[c] + C00058[c] + C00237[c]"	"5-amino-1-(5-phospho-D-ribosyl)imidazole formate-lyase (decarboxylating, 4-amino-2-methyl-5-phosphomethylpyrimidine-forming)"	"Aminoimidazole ribotide + S-Adenosyl-L-methionine <=> 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine + 5'-Deoxyadenosine + L-Methionine + Formate + CO"
"R02461"	"C00515[c] <=> C03943[c]"	"D-ornithine 4,5-aminomutase"	"D-Ornithine <=> (2R,4S)-2,4-Diaminopentanoate"
"R07915"	"C16303[c] <=> C16302[c]"	"X"	"Ternatin C5 <=> Ternatin A1"
"R10595"	"C12321[c] + C20720[c] <=> C00363[c] + C20721[c]"	"dTDP-L-4-epi-vancosamine:desvancosaminyl-vancomycin vancosaminyltransferase"	"dTDP-L-epivancosamine + Desvancosaminyl-vancomycin <=> dTDP + Chloroorienticin B"
"R05465"	"C00118[c] + C00062[c] <=> C06655[c] + C00009[c]"	"X"	"D-Glyceraldehyde 3-phosphate + L-Arginine <=> L-N2-(2-Carboxyethyl)arginine + Orthophosphate"
"R09797"	"C19909[c] <=> C19910[c]"	"N-acetyl-alpha-neuraminate 2-epimerase"	"N-Acetyl-alpha-neuraminate <=> N-Acetyl-beta-neuraminate"
"R11006"	"C21022[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C21023[c] + 2 C00996[c] + 2 C00001[c]"	"(4E,8E)-sphinga-4,8-dienine ceramide,ferrocytochrome b5:oxygen oxidoreductase (10,11-trans-dehydrogenating)"	"(4E,8E)-Sphinga-4,8-dienine ceramide + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (4E,8E,10E)-Sphinga-4,8,10-trienine ceramide + 2 Ferricytochrome b5 + 2 H2O"
"R12893"	"C09305[c] <=> C22444[c]"	"X"	"Psoralen <=> 5,8-Dihydroxypsoralen"
"R03350"	"C04478[c] + C00001[c] <=> C01187[c] + C00009[c]"	"3-deoxy-D-manno-octulosonate-8-phosphate 8-phosphohydrolase"	"3-Deoxy-D-manno-octulosonate 8-phosphate + H2O <=> 3-Deoxy-D-manno-octulosonate + Orthophosphate"
"R10807"	"C06040[c] + C00029[c] <=> C20860[c] + C00015[c]"	"UDP-alpha-D-glucose:diglucosyldiacylglycerol 6-glucosyltransferase"	"Diglucosyldiacylglycerol + UDP-glucose <=> Triglucosyldiacylglycerol + UDP"
"R01627"	"C02637[c] <=> C00230[c] + C00001[c]"	"3-dehydroshikimate hydro-lyase"	"3-Dehydroshikimate <=> 3,4-Dihydroxybenzoate + H2O"
"R03658"	"C00002[c] + C00047[c] + C01646[c] <=> C00020[c] + C00013[c] + C01931[c]"	"L-lysine:tRNALys ligase (AMP-forming)"	"ATP + L-Lysine + tRNA(Lys) <=> AMP + Diphosphate + L-Lysyl-tRNA"
"R04327"	"2 C03840[c] + C00007[c] <=> 2 C04110[c]"	"5-hydroxy-1,4-naphthoquinone,water:oxygen oxidoreductase (3-hydroxylating)"	"2 Juglone + Oxygen <=> 2 3,5-Dihydroxy-1,4-naphthoquinone"
"R06668"	"C12414[c] + C11923[c] <=> C12413[c] + C00363[c]"	"dTDP-D-olivose:urdamycin-G D-olivosyltransferase"	"Urdamycin G + dTDP-D-olivose <=> Urdamycin A + dTDP"
"R08975"	"C18021[c] + C00001[c] <=> C18063[c] + C00132[c]"	"pheophorbide-a hydrolase"	"Pheophorbide a + H2O <=> C-13(2)-Carboxypyropheophorbide a + Methanol"
"R09984"	"C02344[c] + C00003[c] <=> C11387[c] + C00004[c] + C00080[c]"	"(-)-endo-fenchol:NAD+ oxidoreductase"	"(-)-endo-Fenchol + NAD+ <=> (1S,4R)-(+)-Fenchone + NADH + H+"
"R00764"	"C00013[c] + C00085[c] <=> C00009[c] + C00354[c]"	"diphosphate:D-fructose-6-phosphate 1-phosphotransferase"	"Diphosphate + D-Fructose 6-phosphate <=> Orthophosphate + D-Fructose 1,6-bisphosphate"
"R10961"	"C00512[c] + C00030[c] <=> C06322[c] + C00028[c]"	"X"	"Benzoyl-CoA + Reduced acceptor <=> Cyclohexa-1,5-diene-1-carbonyl-CoA + Acceptor"
"R07195"	"C15509[c] + C03024[c] + C00007[c] <=> C10422[c] + C03161[c] + 2 C00001[c]"	"2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (cyclizing)"	"Glyceocarpin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (-)-Glyceollin II + [Oxidized NADPH---hemoprotein reductase] + 2 H2O"
"R08411"	"C00123[c] <=> C08262[c]"	"X"	"L-Leucine <=> 3-Methylbutanoic acid"
"R13328"	"C04006[c] + C00269[c] <=> C04549[c] + C00055[c]"	"X"	"1D-myo-Inositol 3-phosphate + CDP-diacylglycerol <=> 1-Phosphatidyl-1D-myo-inositol 3-phosphate + CMP"
"R09404"	"C06800[c] + C00007[c] + C00005[c] + C00080[c] <=> C19585[c] + C00001[c] + C00006[c]"	"X"	"Aflatoxin B1 + Oxygen + NADPH + H+ <=> Aflatoxin Q1 + H2O + NADP+"
"R10884"	"C05539[c] <=> C20911[c]"	"X"	"N-Acetyl-L-2-amino-6-oxopimelate <=> C20911"
"R08759"	"C05446[c] <=> C01301[c]"	"X"	"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane <=> 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al"
"R09953"	"C06153[c] + C00003[c] <=> C00691[c] + C00004[c] + C00080[c]"	"scyllo-inositol:NAD+ oxidoreductase"	"scyllo-Inositol + NAD+ <=> 2,4,6/3,5-Pentahydroxycyclohexanone + NADH + H+"
"R01242"	"C00053[c] + C15584[c] <=> C00054[c] + C00850[c]"	"3'-phosphoadenylylsulfate:phenol sulfotransferase"	"3'-Phosphoadenylyl sulfate + Phenol <=> Adenosine 3',5'-bisphosphate + Aryl sulfate"
"R11042"	"C21071[c] <=> C11921[c]"	"X"	"dTDP-3-O-methyl-4-oxo-2,6-dideoxy-L-mannose <=> dTDP-L-oleandrose"
"R12610"	"C22278[c] <=> C03394[c] + C00011[c]"	"3-oxoisoapionate 4-phosphate carboxy-lyase"	"3-Oxoisoapionate 4-phosphate <=> Erythrulose 1-phosphate + CO2"
"R08550"	"C16832[c] + C00003[c] <=> C16237[c] + C00004[c] + C00080[c]"	"protein N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase"	"[Protein]-N6-[(R)-dihydrolipoyl]-L-lysine + NAD+ <=> Protein N6-(lipoyl)lysine + NADH + H+"
"R12507"	"C00064[c] + C01180[c] <=> C00940[c] + C00073[c]"	"L-glutamine:4-(methylsulfanyl)-2-oxobutanoate aminotransferase"	"L-Glutamine + 4-Methylthio-2-oxobutanoic acid <=> 2-Oxoglutaramate + L-Methionine"
"R03104"	"C05823[c] + C00003[c] <=> C00957[c] + C00004[c] + C00080[c]"	"3-mercaptolactate:NAD+ oxidoreductase"	"3-Mercaptolactate + NAD+ <=> Mercaptopyruvate + NADH + H+"
"R03265"	"C01126[c] <=> C03220[c]"	"(2E,6E)-farnesol 2-cis-trans-isomerase"	"(2E,6E)-Farnesol <=> (2Z,6E)-Farnesol"
"R12535"	"C05629[c] + C04253[c] <=> C00423[c] + C04570[c]"	"3-(phenyl)propanoate:electron-transfer flavoprotein 2,3-oxidoreductase"	"Phenylpropanoate + Electron-transferring flavoprotein <=> trans-Cinnamate + Reduced electron-transferring flavoprotein"
"R11981"	"C18226[c] + 3 C03024[c] + 3 C00007[c] <=> C21826[c] + 3 C03161[c] + 4 C00001[c]"	"ent-cassa-12,15-diene,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (ent-3beta-hydroxycassa-12,15-dien-2-one forming)"	"ent-Cassa-12,15-diene + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> ent-3beta-Hydroxycassa-12,15-dien-2-one + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O"
"R02281"	"C01371[c] + 2 C00340[c] + C00007[c] + 2 C00080[c] <=> 2 C00435[c] + C00226[c] + C00001[c]"	"alkane,reduced-rubredoxin:oxygen 1-oxidoreductase"	"Alkane + 2 Reduced rubredoxin + Oxygen + 2 H+ <=> 2 Oxidized rubredoxin + Primary alcohol + H2O"
"R07306"	"C00044[c] + 3 C00001[c] <=> C15563[c] + 2 C00009[c]"	"GTP 8,9-hydrolase (phosphate-forming)"	"GTP + 3 H2O <=> 2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + 2 Orthophosphate"
"R13258"	"C20683[c] + C01209[c] <=> C22858[c] + C00011[c] + C00229[c]"	"long-chain-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)"	"Long-chain acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Long-chain 3-oxoacyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein"
"R00233"	"C00083[c] <=> C00024[c] + C00011[c]"	"malonyl-CoA carboxy-lyase (acetyl-CoA-forming)"	"Malonyl-CoA <=> Acetyl-CoA + CO2"
"R12434"	"C00002[c] + C02147[c] <=> C22161[c] + C00013[c]"	"X"	"ATP + Dihydrolipoate <=> Dihydrolipoyl-AMP + Diphosphate"
"R12701"	"C22341[c] + 2 C00024[c] <=> C22342[c] + 2 C00010[c]"	"X"	"Heptaprenylglycerol + 2 Acetyl-CoA <=> Diacetylheptaprenylglycerol + 2 CoA"
"R00022"	"C01674[c] + C00001[c] <=> 2 C00140[c]"	"chitobiose N-acetylglucosaminohydrolase"	"Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine"
"R05470"	"C06660[c] <=> C06661[c]"	"X"	"Clavaminic acid <=> Clavulanate-9-aldehyde"
"R01248"	"C00148[c] + C00003[c] <=> C03912[c] + C00004[c] + C00080[c]"	"L-proline:NAD+ 5-oxidoreductase"	"L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+"
"R08867"	"C06456[c] + C00063[c] <=> C17945[c] + C00013[c]"	"CTP:phosphonoformate cytidylyltransferase"	"Phosphonoformate + CTP <=> Phosphonoformyl-CMP + Diphosphate"
"R06037"	"G10616 + G00067 <=> G10621 + G00088"	"X"	"G10616 + G00067 <=> G10621 + G00088"
"R04706"	"C05194[c] + C00007[c] + C00080[c] <=> C06327[c] + C00027[c]"	"dihydrochelirubine:oxygen oxidoreductase"	"Dihydrochelirubine + Oxygen + H+ <=> Chelirubine + Hydrogen peroxide"
"R11703"	"C00096[c] + C21606[c] <=> C00035[c] + C21607[c]"	"GDP-alpha-D-mannose:2-O-alpha-D-mannosyl-1-phosphatidyl-1D-myo-inositol 6-alpha-D-mannosyltransferase (configuration-retaining)"	"GDP-mannose + 2-O-(alpha-D-Mannosyl)-1-phosphatidyl-1D-myo-inositol <=> GDP + 2,6-Di-O-alpha-D-mannosyl-1-phosphatidyl-1D-myo-inositol"
"R01635"	"C03233[c] <=> C00230[c] + C00011[c]"	"4,5-dihydroxyphthalate carboxy-lyase (3,4-dihydroxybenzoate-forming)"	"4,5-Dihydroxyphthalate <=> 3,4-Dihydroxybenzoate + CO2"
"R00015"	"2 C00089[c] <=> C00031[c] + C03661[c]"	"sucrose:sucrose 1'-beta-D-fructosyltransferase;"	"2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose"
"R12724"	"C22344[c] + C00019[c] <=> C22345[c] + C00011[c] + C05198[c] + C00073[c]"	"C-terminal [mycofactocin precursor peptide]-glycyl-L-valyl-L-tyrosine L-tyrosine-carboxylyase"	"C-Terminal [mycofactocin precursor peptide]-glycyl-L-valyl-L-tyrosine + S-Adenosyl-L-methionine <=> C-Terminal [mycofactocin precursor peptide]-glycyl-L-valyl-4-[2-aminoethenyl]phenol + CO2 + 5'-Deoxyadenosine + L-Methionine"
"R08762"	"2 C01987[c] + C00007[c] <=> 2 C17500[c] + 2 C00001[c]"	"2-aminophenol:oxygen oxidoreductase"	"2 2-Aminophenol + Oxygen <=> 2 6-Iminocyclohexa-2,4-dienone + 2 H2O"
