bigg_id,name,reaction_string,kegg_reactions
NTD10pp,5'-nucleotidase (XMP),h2o_p + xmp_p <-> pi_p + xtsn_p,R02719
NTD11pp,5'-nucleotidase (IMP),h2o_p + imp_p <-> ins_p + pi_p,R01126
NTD2,5'-nucleotidase (UMP),h2o_c + ump_c <-> pi_c + uri_c,R00963
NTD4,5'-nucleotidase (CMP),cmp_c + h2o_c <-> cytd_c + pi_c,R00511
NTD4pp,5'-nucleotidase (CMP),cmp_p + h2o_p <-> cytd_p + pi_p,R00511
NTD5,5'-nucleotidase (dTMP),dtmp_c + h2o_c <-> pi_c + thymd_c,R01569
NTD6,5'-nucleotidase (dAMP),damp_c + h2o_c <-> dad_2_c + pi_c,R02088
NTD6pp,5'-nucleotidase (dAMP),damp_p + h2o_p <-> dad_2_p + pi_p,R02088
NTD7,5'-nucleotidase (AMP),amp_c + h2o_c <-> adn_c + pi_c,R00183
NTD7pp,5'-nucleotidase (AMP),amp_p + h2o_p <-> adn_p + pi_p,R00183
NTD8,5'-nucleotidase (dGMP),dgmp_c + h2o_c <-> dgsn_c + pi_c,R01968
NTD8pp,5'-nucleotidase (dGMP),dgmp_p + h2o_p <-> dgsn_p + pi_p,R01968
NTD9,5'-nucleotidase (GMP),gmp_c + h2o_c <-> gsn_c + pi_c,R01227
NTD9pp,5'-nucleotidase (GMP),gmp_p + h2o_p <-> gsn_p + pi_p,R01227
NTP1,Nucleoside-triphosphatase (ATP),atp_c + h2o_c <-> adp_c + h_c + pi_c,R00086
NTP10,Nucleoside-triphosphatase (ITP),h2o_c + itp_c <-> h_c + idp_c + pi_c,R00719
NTP3pp,Nucleoside-triphosphatase (GTP) (periplasm),gtp_p + h2o_p <-> gdp_p + h_p + pi_p,R00335
NTP5,Nucleoside-triphosphatase (CTP),ctp_c + h2o_c <-> cdp_c + h_c + pi_c,R00569
NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp),dgtp_c + h2o_c <-> dgmp_c + h_c + ppi_c,R01855
NTPP3,Nucleoside triphosphate pyrophosphorylase (dctp),dctp_c + h2o_c <-> dcmp_c + h_c + ppi_c,R01668
NTPP6,Nucleoside triphosphate pyrophosphorylase (atp),atp_c + h2o_c <-> amp_c + h_c + ppi_c,R00087
NTPP7,Nucleoside triphosphate pyrophosphorylase (dttp),dttp_c + h2o_c <-> dtmp_c + h_c + ppi_c,R11323
NTPP8,Nucleoside triphosphate pyrophosphorylase (utp),h2o_c + utp_c <-> h_c + ppi_c + ump_c,R00662
NTPTP1,Nucleoside triphosphate tripolyhydrolase,dgtp_c + h2o_c <-> dgsn_c + pppi_c,R01856
NTRIR2x,Nitrite Reductase (NADH),5.0 h_c + 3.0 nadh_c + no2_c <-> 2.0 h2o_c + 3.0 nad_c + nh4_c,R00787
OBTFL,2-Oxobutanoate formate lyase,2obut_c + coa_c <-> for_c + ppcoa_c,R06987
OCTDPS,Octaprenyl pyrophosphate synthase,frdp_c + 5.0 ipdp_c <-> octdp_c + 5.0 ppi_c,R09248
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,2ohph_c + amet_c <-> 2omph_c + ahcys_c + h_c,R04988
OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,3c4mop_c + h_c <-> 4mop_c + co2_c,R01652
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,3ophb_c + h_c <-> 2oph_c + co2_c,R04986
ORNDC,Ornithine Decarboxylase,h_c + orn_c <-> co2_c + ptrc_c,R00670
P5CD,1-pyrroline-5-carboxylate dehydrogenase,1pyr5c_c + 2.0 h2o_c + nad_c <-> glu__L_c + h_c + nadh_c,R00707
P5CR,Pyrroline-5-carboxylate reductase,1pyr5c_c + 2.0 h_c + nadph_c <-> nadp_c + pro__L_c,R01251
PANTS,Pantothenate synthase,ala_B_c + atp_c + pant__R_c <-> amp_c + h_c + pnto__R_c + ppi_c,R02473
PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),paps_c + trdrd_c <-> 2.0 h_c + pap_c + so3_c + trdox_c,R02021
PDE1,"3',5'-cyclic-nucleotide phosphodiesterase",camp_c + h2o_c <-> amp_c + h_c,R00191
PDE4,"3',5'-cyclic-nucleotide phosphodiesterase",35cgmp_c + h2o_c <-> gmp_c + h_c,R01234
PGAMT,Phosphoglucosamine mutase,gam1p_c <-> gam6p_c,R02060
PGCD,Phosphoglycerate dehydrogenase,3pg_c + nad_c <-> 3php_c + h_c + nadh_c,R01513
PGL,6-phosphogluconolactonase,6pgl_c + h2o_c <-> 6pgc_c + h_c,R02035
PGLYCP,Phosphoglycolate phosphatase,2pglyc_c + h2o_c <-> glyclt_c + pi_c,R01334
PHETA1,Phenylalanine transaminase,akg_c + phe__L_c <-> glu__L_c + phpyr_c,R00694
PMDPHT,Pyrimidine phosphatase,5aprbu_c + h2o_c <-> 4r5au_c + pi_c,R07280
PMEACPE,Pimeloyl-[ACP] methyl ester esterase,h2o_c + pmeACP_c <-> meoh_c + pimACP_c,R09725
PNTK,Pantothenate kinase,atp_c + pnto__R_c <-> 4ppan_c + adp_c + h_c,R03018
PPBNGS,Porphobilinogen synthase,2.0 5aop_c <-> h_c + 2.0 h2o_c + ppbng_c,R00036
PPC,Phosphoenolpyruvate carboxylase,co2_c + h2o_c + pep_c <-> h_c + oaa_c + pi_c,R00345
PPCDC,Phosphopantothenoylcysteine decarboxylase,4ppcys_c + h_c <-> co2_c + pan4p_c,R03269
PPCK,Phosphoenolpyruvate carboxykinase,atp_c + oaa_c <-> adp_c + co2_c + pep_c,R00341
PPNDH,Prephenate dehydratase,h_c + pphn_c <-> co2_c + h2o_c + phpyr_c,R01373
PPS,Phosphoenolpyruvate synthase,atp_c + h2o_c + pyr_c <-> amp_c + 2.0 h_c + pep_c + pi_c,R00199
PRAGSr,Phosphoribosylglycinamide synthase,atp_c + gly_c + pram_c <-> adp_c + gar_c + h_c + pi_c,R04144
PRAIi,Phosphoribosylanthranilate isomerase (irreversible),pran_c <-> 2cpr5p_c,R03509
PRATPP,Phosphoribosyl-ATP pyrophosphatase,h2o_c + prbatp_c <-> h_c + ppi_c + prbamp_c,R04035
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c + skm5p_c <-> 3psme_c + pi_c,R03460
PSERT,Phosphoserine transaminase,3php_c + glu__L_c <-> akg_c + pser__L_c,R04173
PSP_L,Phosphoserine phosphatase (L-serine),h2o_c + pser__L_c <-> pi_c + ser__L_c,R00582
PTA2,Phosphate acetyltransferase,pi_c + ppcoa_c <-> coa_c + ppap_c,R00921
PTAr,Phosphotransacetylase,accoa_c + pi_c <-> actp_c + coa_c,R00230
PUNP1,Purine-nucleoside phosphorylase (Adenosine),adn_c + pi_c <-> ade_c + r1p_c,R01561
PUNP3,Purine-nucleoside phosphorylase (Guanosine),gsn_c + pi_c <-> gua_c + r1p_c,R02147
PUNP4,Purine-nucleoside phosphorylase (Deoxyguanosine),dgsn_c + pi_c <-> 2dr1p_c + gua_c,R01969
PUNP5,Purine-nucleoside phosphorylase (Inosine),ins_c + pi_c <-> hxan_c + r1p_c,R01863
PYK,Pyruvate kinase,adp_c + h_c + pep_c <-> atp_c + pyr_c,R00200
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),pi_c + uri_c <-> r1p_c + ura_c,R01876
R15BPK,"Ribose-1,5-bisphosphokinase",atp_c + r15bp_c <-> adp_c + prpp_c,R06836
RBFK,Riboflavin kinase,atp_c + ribflv_c <-> adp_c + fmn_c + h_c,R00549
RBK_L1,L-ribulokinase (L-ribulose),atp_c + rbl__L_c <-> adp_c + h_c + ru5p__L_c,R02439
RBP4E,L-ribulose-phosphate 4-epimerase,ru5p__L_c <-> xu5p__D_c,R05850
RHCCE,S-ribosylhomocysteine cleavage enzyme,rhcys_c <-> dhptd_c + hcys__L_c,R01291
RMK,Rhamnulokinase,atp_c + rml_c <-> adp_c + h_c + rml1p_c,R03014
RNDR2,Ribonucleoside-diphosphate reductase (GDP),gdp_c + trdrd_c <-> dgdp_c + h2o_c + trdox_c,R02019
RNDR3,Ribonucleoside-diphosphate reductase (CDP),cdp_c + trdrd_c <-> dcdp_c + h2o_c + trdox_c,R02024
SADH,Succinylarginine dihydrolase,2.0 h_c + 2.0 h2o_c + sucarg_c <-> co2_c + 2.0 nh4_c + sucorn_c,R04189
SBTPD,Sorbitol-6-phosphate dehydrogenase,nad_c + sbt6p_c <-> f6p_c + h_c + nadh_c,R05607
SDPTA,Succinyldiaminopimelate transaminase,akg_c + sl26da_c <-> glu__L_c + sl2a6o_c,R04475
SELGTHR,Selenate glutathione reductase,4.0 gthrd_c + 2.0 h_c + slnt_c <-> dgslnt_c + gthox_c + 3.0 h2o_c,R09367
SELNPS,Selenophosphate synthase,atp_c + h2o_c + seln_c <-> amp_c + pi_c + selnp_c,R03595
SERAT,Serine O-acetyltransferase,accoa_c + ser__L_c <-> acser_c + coa_c,R00586
SERD_L,L-serine deaminase,ser__L_c <-> nh4_c + pyr_c,R00220; R00223
SFGTHi,S-Formylglutathione hydralase,Sfglutth_c + h2o_c <-> for_c + gthrd_c + h_c,R00527
SHCHF,Sirohydrochlorin ferrochelatase,fe2_c + scl_c <-> 3.0 h_c + sheme_c,R02864
SHK3Dr,Shikimate dehydrogenase,3dhsk_c + h_c + nadph_c <-> nadp_c + skm_c,R02413
SHSL1,O-succinylhomoserine lyase (L-cysteine),cys__L_c + suchms_c <-> cyst__L_c + h_c + succ_c,R03260
SOTA,Succinylornithine transaminase,akg_c + sucorn_c <-> glu__L_c + sucgsa_c,R04217
SPMS,Spermidine synthase,ametam_c + ptrc_c <-> 5mta_c + h_c + spmd_c,R01920
SPODMpp,Superoxide dismutase,2.0 h_p + 2.0 o2s_p <-> h2o2_p + o2_p,R00275
SUCBZS,O-succinylbenzoate-CoA synthase,2shchc_c <-> h2o_c + sucbz_c,R04031
SUCOAS,Succinyl-CoA synthetase (ADP-forming),atp_c + coa_c + succ_c <-> adp_c + pi_c + succoa_c,R00405
TAGURr,Tagaturonate reductase,altrn_c + nad_c <-> h_c + nadh_c + tagur_c,R02555
TALA,Transaldolase,g3p_c + s7p_c <-> e4p_c + f6p_c,R01827
TDPDRE,"DTDP-4-dehydrorhamnose 3,5-epimerase",dtdp4d6dg_c <-> dtdp4d6dm_c,R06514
TDSK,Tetraacyldisaccharide 4'kinase,atp_c + lipidAds_c <-> adp_c + h_c + lipidA_c,R04657
THFAT,Tetrahydrofolate aminomethyltransferase,h2o_c + methf_c <-> 5fthf_c + h_c,R02300
THRA,Threonine aldolase,thr__L_c <-> acald_c + gly_c,R00751
THRD,L-threonine dehydrogenase,nad_c + thr__L_c <-> 2aobut_c + h_c + nadh_c,R01465
THRD_L,L-threonine deaminase,thr__L_c <-> 2obut_c + nh4_c,R00996
THRTRS,Threonyl-tRNA synthetase,atp_c + thr__L_c + trnathr_c <-> amp_c + ppi_c + thrtrna_c,R03663
TKT2,Transketolase,e4p_c + xu5p__D_c <-> f6p_c + g3p_c,R01830
TMDPP,Thymidine phosphorylase,pi_c + thymd_c <-> 2dr1p_c + thym_c,R01570
TPI,Triose-phosphate isomerase,dhap_c <-> g3p_c,R01015
TRDR,Thioredoxin reductase (NADPH),h_c + nadph_c + trdox_c <-> nadp_c + trdrd_c,R02016
TREH,"Alpha,alpha-trehalase",h2o_c + tre_c <-> 2.0 glc__D_c,R00010; R06103
TREHpp,"Alpha,alpha-trehalase (periplasm)",h2o_p + tre_p <-> 2.0 glc__D_p,R00010; R06103
TRPS2,Tryptophan synthase (indole),indole_c + ser__L_c <-> h2o_c + trp__L_c,R00674
TRPS3,Tryptophan synthase (indoleglycerol phosphate),3ig3p_c <-> g3p_c + indole_c,R02340
TRPTRS,Tryptophanyl-tRNA synthetase,atp_c + trnatrp_c + trp__L_c <-> amp_c + ppi_c + trptrna_c,R03664
TYROXDApp,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (periplasm),h2o_p + o2_p + tym_p <-> 4hoxpacd_p + h2o2_p + nh4_p,R02382
UACMAMO,UDP-N-acetyl-D-mannosamine oxidoreductase,h2o_c + 2.0 nad_c + uacmam_c <-> 3.0 h_c + 2.0 nadh_c + uacmamu_c,R03317
UAG2E,UDP-N-acetylglucosamine 2-epimerase,uacgam_c <-> uacmam_c,R00420
UAGAAT,UDP-N-acetylglucosamine acyltransferase,3hmrsACP_c + uacgam_c <-> ACP_c + u3aga_c,R04567
UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,atp_c + glu__D_c + uama_c <-> adp_c + h_c + pi_c + uamag_c,R02783
UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,ala__L_c + atp_c + uamr_c <-> adp_c + h_c + pi_c + uama_c,R03193
UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,h_c + nadph_c + uaccg_c <-> nadp_c + uamr_c,R03192
UDPG4E,UDPglucose 4-epimerase,udpg_c <-> udpgal_c,R00291
UDPGALM,UDPgalactopyranose mutase,udpgal_c <-> udpgalfur_c,R00505
UDPGDC,UDP-glucuronate C-4'' decarboxylase,nad_c + udpglcur_c <-> co2_c + nadh_c + udpLa4o_c,R07658
UDPGPpp,UDPglucose pyrophosphohydrolase,h2o_p + udpg_p <-> g1p_p + 2.0 h_p + ump_p,R00287
UDPKAAT,UDP-4''-ketopentose:UDP-4-amino-4-deoxy-L-arabinose aminotransferase,glu__L_c + udpLa4o_c <-> akg_c + udpLa4n_c,R07659
UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,gal1p_c + udpg_c <-> g1p_c + udpgal_c,R00955
UGLYCH,Ureidoglycolate hydrolase,2.0 h_c + h2o_c + urdglyc_c <-> co2_c + glx_c + 2.0 nh4_c,R00469
UPP3MT,Uroporphyrinogen methyltransferase,2.0 amet_c + uppg3_c <-> 2.0 ahcys_c + dscl_c + h_c,R03194
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),4.0 h_c + uppg3_c <-> 4.0 co2_c + cpppg3_c,R03197
URACPAH,Peroxyureidoacrylate hydrolase,h2o_c + uracp_c <-> cbm_c + h_c + poaac_c,R09947
USHD,UDP-sugar hydrolase,h2o_c + u23ga_c <-> 2.0 h_c + lipidX_c + ump_c,R04549
VALTA,Valine transaminase,akg_c + val__L_c <-> 3mob_c + glu__L_c,R01214
VALTRS,Valyl-tRNA synthetase,atp_c + trnaval_c + val__L_c <-> amp_c + ppi_c + valtrna_c,R03665
VPAMTr,Valine-pyruvate aminotransferase,3mob_c + ala__L_c <-> pyr_c + val__L_c,R01215
XYLI2,Xylose isomerase,glc__D_c <-> fru_c,R00307
2DGLCNRy,2-dehydro-D-gluconate reductase (NADPH),2dhglcn_c + h_c + nadph_c <-> glcn_c + nadp_c,R01739
HACD1i,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),3hbcoa_c + nad_c <-> aacoa_c + h_c + nadh_c,R01975
HACD2i,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),3hhcoa_c + nad_c <-> 3ohcoa_c + h_c + nadh_c,R04748
HACD4i,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),3hdcoa_c + nad_c <-> 3odcoa_c + h_c + nadh_c,R04743
HACD6i,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),3htdcoa_c + nad_c <-> 3otdcoa_c + h_c + nadh_c,R04739
HACD7i,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),3hhdcoa_c + nad_c <-> 3ohdcoa_c + h_c + nadh_c,R04737
MDRPD,5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,5mdru1p_c <-> dkmpp_c + h2o_c,R07392
MTRI,5-methylthioribose-1-phosphate isomerase,5mdr1p_c <-> 5mdru1p_c,R04420
MTRK,5-methylthioribose kinase,5mtr_c + atp_c <-> 5mdr1p_c + adp_c + h_c,R04143
NPHS,Naphthoate synthase,sbzcoa_c <-> coa_c + dhna_c,R04150
URIDK2r,Uridylate kinase (dUMP),atp_c + dump_c <-> adp_c + dudp_c,R02098
2DOXG6PP,2 deoxyglucose 6 phosphatase,2doxg6p_c + h2o_c <-> 2dglc_c + pi_c,R02587
2HBO,2 HydroxybutyrateNAD oxidoreductase,2hb_c + nad_c <-> 2obut_c + h_c + nadh_c,R01000
3DSPHR,3 Dehydrosphinganine reductase,3dsphgn_c + h_c + nadph_c <-> nadp_c + sphgn_c,R02978
4HBZCOAFm,4 hydroxybenzoyl CoA formation,coa_m + coucoa_m + h2o_m + nad_m <-> 4hbzcoa_m + accoa_m + h_m + nadh_m,R08767
AABTN,4 acetamidobutyrate deacetylase,4aabutn_c + h2o_c <-> 4abut_c + ac_c,R01987
AATA,2 aminoadipate transaminase,2oxoadp_c + glu__L_c <-> L2aadp_c + akg_c,R01939
ACACT4p,Acetyl CoA C acetyltransferase  octanoyl CoA   peroxisomal,3odcoa_x + coa_x <-> accoa_x + occoa_x,R03778
ACACT6p,Acetyl CoA C acetyltransferase  dodecanoyl   peroxisomal,3otdcoa_x + coa_x <-> accoa_x + ddcacoa_x,R03858
ACACT7p,Acetyl CoA acyltransferase  tetradecanoyl CoA   peroxisomal,3ohdcoa_x + coa_x <-> accoa_x + tdcoa_x,R03991
ACCOACrm,Acetyl Coa carboxylase  mitochondrial,accoa_m + atp_m + hco3_m <-> adp_m + h_m + malcoa_m + pi_m,R00742
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,accoa_c + gam6p_c <-> acgam6p_c + coa_c + h_c,R02058
ACHBSm,2 aceto 2 hydroxybutanoate synthase  mitochondrial,2obut_m + h_m + pyr_m <-> 2ahbut_m + co2_m,R08648
ACLSm,Acetolactate synthase  mitochondrial,h_m + 2.0 pyr_m <-> alac__S_m + co2_m,R00226
ACONT,Aconitate hydratase,cit_c <-> icit_c,R01324
ADK1m,Adenylate kinase  mitochondrial,amp_m + atp_m <-> 2.0 adp_m,R00127
AGPRim,N acetyl g glutamyl phosphate reductase  irreversible  mitochondrial,acg5p_m + h_m + nadph_m <-> acg5sa_m + nadp_m + pi_m,R03443
AHCi,Adenosylhomocysteinase,ahcys_c + h2o_c <-> adn_c + hcys__L_c,R00192
AHSERL,O acetylhomoserine  thiol  lyase,achms_c + ch4s_c <-> ac_c + h_c + met__L_c,R00651
AHSERL2,O acetylhomoserine  thiol  lyase,achms_c + h2s_c <-> ac_c + h_c + hcys__L_c,R01287
ALCD19y,Alcohol dehydrogenase  glycerol  NADP ,glyald_c + h_c + nadph_c <-> glyc_c + nadp_c,R01041
ALCD24yi,Aldehyde dehydrogenase  isoamyl alcohol  NADP ,3mbald_c + h_c + nadph_c <-> iamoh_c + nadp_c,R05686
ALCD26xim,Aldehyde dehydrogenase  tryptophol  NAD   mitochondrial,h_m + id3acald_m + nadh_m <-> ind3eth_m + nad_m,R02679
ALDD20xm,Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD   mitochondrial,h2o_m + id3acald_m + nad_m <-> 2.0 h_m + ind3ac_m + nadh_m,R02678
ALLTAHr,Allantoate amidinohydrolase  reversible,alltt_c + h2o_c <-> urdglyc_c + urea_c,R02422
ALPHNH,Allophanate hydrolase,allphn_c + 3.0 h_c + h2o_c <-> 2.0 co2_c + 2.0 nh4_c,R00005
AMID2,Amidase,h2o_c + pad_c <-> nh4_c + pac_c,R02540
AMPDA,Adenosine monophosphate deaminase,amp_c + h_c + h2o_c <-> imp_c + nh4_c,R00181
ARAB1D2,D arabinose 1 dehydrogenase  NADP ,arab__D_c + nadp_c <-> Dara14lac_c + h_c + nadph_c,R01575
ARGN,Arginase,arg__L_c + h2o_c <-> orn_c + urea_c,R00551
ARMT,HnRNP arginine N methyltransferase,amet_c + his__L_c <-> NPmehis_c + ahcys_c + h_c,R01159
ASPTAm,Aspartate transaminase,akg_m + asp__L_m <-> glu__L_m + oaa_m,R00355
C24STRer,C s24 sterol reductase  endoplamic reticular,ergtetrol_r + h_r + nadph_r <-> ergst_r + nadp_r,R05641
CHLPCTD,Choline phosphate cytididyltransferase,cholp_c + ctp_c + h_c <-> cdpchol_c + ppi_c,R01890
COAHLp,CoA hydrolase  peroxisomal ,coa_x + h2o_x <-> 2.0 h_x + pan4p_x + pap_x,R10747
COUCOAFm,P coumaroyl CoA formation,T4hcinnm_m + atp_m + coa_m <-> amp_m + coucoa_m + ppi_m,R01616
CSNATm,Carnitine O aceyltransferase  mitochondrial,acrn_m + coa_m <-> accoa_m + crn_m,R02396
CSNATr,Carnitine O acetyltransferase,accoa_c + crn_c <-> acrn_c + coa_c,R02396
CSm,Citrate synthase,accoa_m + h2o_m + oaa_m <-> cit_m + coa_m + h_m,R00351
CSp,Citrate synthase,accoa_x + h2o_x + oaa_x <-> cit_x + coa_x + h_x,R00351
CYSTLp,Cystathione b lyase  peroxisomal,cyst__L_x + h2o_x <-> hcys__L_x + nh4_x + pyr_x,R01286
CYSTS,Cystathionine beta synthase,hcys__L_c + ser__L_c <-> cyst__L_c + h2o_c,R01290
DGGH,Alpha D glucoside glucohydrase,6dg_c + h2o_c <-> gal_c + glc__D_c,R01101; R06091
DHAD1m,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylbutanoate   mitochondrial,23dhmb_m <-> 3mob_m + h2o_m,R04441
DHAD2m,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylpentanoate   mitochondrial,23dhmp_m <-> 3mop_m + h2o_m,R05070
DHFRim,Dihydrofolate reductase  mitochondrial,dhf_m + h_m + nadph_m <-> nadp_m + thf_m,R00939
DPRm,2 dehydropantoate 2 reductase  mitochondrial,2dhp_m + h_m + nadph_m <-> nadp_m + pant__R_m,R02472
DRBK,Deoxyribokinase,atp_c + drib_c <-> 2dr5p_c + adp_c + h_c,R02750
ECOAH4p,3 hydroxyacyl CoA dehydratase  3 hydroxydecanoyl CoA   peroxisomal,3hdcoa_x <-> dc2coa_x + h2o_x,R04744
ECOAH6p,3 hydroxyacyl CoA dehydratase  3 hydroxytetradecanoyl CoA   peroxisomal,3htdcoa_x <-> h2o_x + td2coa_x,R04740
ECOAH7p,3 hydroxyacyl CoA dehydratase  3 hydroxyhexadecanoyl CoA   peroxisomal,3hhdcoa_x <-> h2o_x + hdd2coa_x,R04738
ETHAK,Ethanolamine kinase,atp_c + etha_c <-> adp_c + ethamp_c + h_c,R01468
FACOAL160p,Fatty acid  CoA ligase  hexadecanoate   peroxisomal,atp_x + coa_x + hdca_x <-> amp_x + pmtcoa_x + ppi_x,R01280
FBA2,D Fructose 1 phosphate D glyceraldehyde 3 phosphate lyase,f1p_c <-> dhap_c + glyald_c,R02568
FCLTm,Ferrochelatase  mitochondrial,fe2_m + ppp9_m <-> 2.0 h_m + pheme_m,R00310
FKYNH,N Formyl L kynurenine amidohydrolase,Lfmkynr_c + h2o_c <-> Lkynr_c + for_c + h_c,R01959
FTHFLmi,Formate tetrahydrofolate ligase  mitochondrial irreversible,atp_m + for_m + thf_m <-> 10fthf_m + adp_m + pi_m,R00943
FUMAC,Fumarylacetoacetase,4fumacac_c + h2o_c <-> acac_c + fum_c + h_c,R01364
G3PD1ir,Glycerol 3 phosphate dehydrogenase  NAD ,dhap_c + h_c + nadh_c <-> glyc3p_c + nad_c,R00842
G3PD1irm,Glycerol 3 phosphate dehydrogenase  NAD   mitochondrial,dhap_m + h_m + nadh_m <-> glyc3p_m + nad_m,R00842
G3PDm,Glycerol 3 phosphate dehydrogenase  FAD   mitochondrial,fad_m + glyc3p_m <-> dhap_m + fadh2_m,R00848
G5SADrm,L glutamate 5 semialdehyde dehydratase  reversible  mitochondrial,glu5sa_m <-> 1pyr5c_m + h_m + h2o_m,R03314
G6PDH2er,Glucose 6 phosphate dehydrogenase  endoplasmic reticulum,g6p_r + nadp_r <-> 6pgl_r + h_r + nadph_r,R00835
G6PI3,Glucose 6 phosphate isomerase,g6p_B_c <-> f6p_c,R03321
GALIGH,1 alpha D Galactosyl myo inositol galactohydrolase,1Dgali_c + h2o_c <-> gal_c + inost_c,R01194; R06093
GALT,Galactose 1 phosphate uridylyltransferase,gal1p_c + h_c + utp_c <-> ppi_c + udpgal_c,R00502
GCC2cm,Glycine cleavage complex  lipoamide   mitochondrial,dhlam_m + nad_m <-> h_m + lpam_m + nadh_m,R01698
GGTT,Geranylgeranyltranstransferase,ggdp_c + ipdp_c <-> pendp_c + ppi_c,R07475
GHMT2rm,Glycine hydroxymethyltransferase  reversible  mitochondrial,ser__L_m + thf_m <-> gly_m + h2o_m + mlthf_m,R00945
GLPT,Glycylpeptide N tetradecanoyltransferase,glp_c + tdcoa_c <-> coa_c + tglp_c,R03992
GLUDxi,Glutamate dehydrogenase  NAD ,glu__L_c + h2o_c + nad_c <-> akg_c + h_c + nadh_c + nh4_c,R00243
GLUSx,Glutamate synthase  NADH2 ,akg_c + gln__L_c + h_c + nadh_c <-> 2.0 glu__L_c + nad_c,R00093
GLUTRSm,Glutamyl tRNA synthetase  mitochondrial,atp_m + glu__L_m + trnaglu_m <-> amp_m + glutrna_m + ppi_m,R05578
GLYCDy,Glycerol dehydrogenase  NADP dependent ,glyc_c + nadp_c <-> dha_c + h_c + nadph_c,R01039
GNNUC,Ribosylpyrimidine nucleosidase,gsn_c + h2o_c <-> gua_c + rib__D_c,R01677
GTHOm,Glutathione oxidoreductase,gthox_m + h_m + nadph_m <-> 2.0 gthrd_m + nadp_m,R00115
HACD4p,3 hydroxyacyl CoA dehydrogenase  3 oxodecanoyl CoA   peroxisomal,3odcoa_x + h_x + nadh_x <-> 3hdcoa_x + nad_x,R04743
HACD6p,3 Hydroxyacyl CoA dehydrogenase  3 oxotetradecanoyl CoA   peroxisomal,3otdcoa_x + h_x + nadh_x <-> 3htdcoa_x + nad_x,R04739
HACD7p,3 hydroxyacyl CoA dehydrogenase  3 oxohexadecanoyl CoA   peroxisomal,3ohdcoa_x + h_x + nadh_x <-> 3hhdcoa_x + nad_x,R04737
HCO3En,HCO3 equilibrium reaction  nuclear,co2_n + h2o_n <-> h_n + hco3_n,R00132; R10092
HEMEOSm,Heme O synthase  mitochondrial,frdp_m + h2o_m + pheme_m <-> hemeO_m + ppi_m,R07411
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,hgentis_c + o2_c <-> 4mlacac_c + h_c,R02519
HPROa,L hydroxyproline reductase  NAD ,1p3h5c_c + 2.0 h_c + nadh_c <-> 4hpro_LT_c + nad_c,R03291
HPROb,L hydroxyproline reductase  NADP ,1p3h5c_c + 2.0 h_c + nadph_c <-> 4hpro_LT_c + nadp_c,R03293
HSDxi,Homoserine dehydrogenase  NADH   irreversible,aspsa_c + h_c + nadh_c <-> hom__L_c + nad_c,R01773
HSERTA,Homoserine O trans acetylase,accoa_c + hom__L_c <-> achms_c + coa_c,R01776
ICDHym,Isocitrate dehydrogenase  NADP ,icit_m + nadp_m <-> akg_m + co2_m + nadph_m,R00267
ICDHyp,Isocitrate dehydrogenase  NADP ,icit_x + nadp_x <-> akg_x + co2_x + nadph_x,R00267
ILETAm,Isoleucine transaminase  mitochondrial,akg_m + ile__L_m <-> 3mop_m + glu__L_m,R02199
ILETRSm,Isoleucyl tRNA synthetase  mitochondrial,atp_m + ile__L_m + trnaile_m <-> amp_m + iletrna_m + ppi_m,R03656
IPPSm,2 isopropylmalate synthase  mitochondrial,3mob_m + accoa_m + h2o_m <-> 3c3hmp_m + coa_m + h_m,R01213
ITCOALm,Itaconate  CoA ligase  ADP forming   mitochondrial,atp_m + coa_m + itacon_m <-> adp_m + itaccoa_m + pi_m,R02404
KYN,Kynureninase,Lkynr_c + h2o_c <-> ala__L_c + anth_c + h_c,R00987
